"year","name","flow","sd","upp50","lwr50","upp80","lwr80","model"
2015,"Portugal",798149.246225925,108957.631379293,874436.343058132,732003.779535188,948534.037289179,680567.339879707,"Eurostat estimate 2016"
2015,"Romania",2759551.90165302,207127.50137871,2900160.02177815,2629197.64358885,3038120.11206278,2506116.45340304,"Eurostat estimate 2016"
2015,"Slovakia",320760.454399682,43714.1774519896,352097.255598087,293182.001739233,381631.112218262,272267.234279062,"Eurostat estimate 2016"
2015,"Slovenia",59777.690971736,10743.8434197176,66952.144790794,53864.8045612941,74853.6294415666,49376.220911814,"Eurostat estimate 2016"
2015,"Spain",419821.283128392,42498.6042717088,449745.785826518,393241.749823708,480183.41123325,369481.239649755,"Eurostat estimate 2016"
2015,"Sweden",144491.066715547,15219.6302196089,155149.308568173,135353.557197275,165605.349540694,128408.138622257,"Eurostat estimate 2016"
2015,"United Kingdom",721698.504436957,57009.7061150942,760134.380344981,686710.329154726,798396.451943371,655593.02929224,"Eurostat estimate 2016"
2016,"Austria",164685.994326477,22365.5935119351,179414.248587447,151558.987289694,197249.235551797,139780.519117236,"Eurostat estimate 2016"
2016,"Belgium",288840.392420331,20901.25521752,303082.995850415,275625.475671977,317113.173491835,264206.930840559,"Eurostat estimate 2016"
2016,"Bulgaria",600548.043474307,62194.7904758636,642347.815779448,563294.295236603,688533.455758646,533861.680148624,"Eurostat estimate 2016"
2016,"Croatia",284183.080435067,33311.776535517,306379.519020731,263736.301506294,329562.806172328,245783.724615063,"Eurostat estimate 2016"
2016,"Cyprus",75284.2412682559,9621.04621102757,81590.0756753,69774.8054557283,89235.6043085128,65196.0052695371,"Eurostat estimate 2016"
2016,"Czechia",290843.00757169,69856.8122880107,336001.541365892,254601.704163287,395413.697749972,229505.129734251,"Eurostat estimate 2016"
2016,"Denmark",89961.3202885344,11971.4091651011,98403.2255630523,83120.8614972919,106947.467692486,77609.1941621587,"Eurostat estimate 2016"
2016,"Estonia",81643.4041648631,8661.76638358612,87278.9425090005,75923.5696688239,93327.2173991872,71628.0590188208,"Eurostat estimate 2016"
2016,"Finland",135070.285572264,9871.47451715371,141731.311587588,128976.133981817,149027.358596289,123724.134712281,"Eurostat estimate 2016"
2016,"France",763002.072533085,44011.9110807135,792854.162767655,735137.842078085,823257.050240578,710647.666514896,"Eurostat estimate 2016"
2016,"Germany",1189630.64853369,51962.3741647489,1224181.05128456,1154345.63067628,1257755.32763225,1123359.81625514,"Eurostat estimate 2016"
2016,"Greece",74106.2518520159,5928.64364083893,78122.6713149856,70425.1490497998,82250.8439745511,66993.1041274087,"Eurostat estimate 2016"
2016,"Hungary",322786.83290361,38500.191423164,350513.039044397,300631.563355607,376753.170945873,280858.876605361,"Eurostat estimate 2016"
2016,"Ireland",233085.801032285,21414.780449144,248478.048636199,219661.915028399,262250.438385669,208138.344851967,"Eurostat estimate 2016"
2016,"Italy",832921.773753736,69398.2762807835,880505.007523159,790546.480586027,929045.770871463,754225.161277599,"Eurostat estimate 2016"
2016,"Latvia",145258.471221221,11300.6869240938,153265.580014002,138340.598111288,160825.990892208,132425.245967987,"Eurostat estimate 2016"
2016,"Lithuania",269682.094932542,18717.4553781496,282493.64211852,257395.196233462,295459.226784253,246902.619729013,"Eurostat estimate 2016"
2016,"Luxembourg",50719.687652221,6317.44239708291,54948.8010151912,46893.472971875,59387.3346399775,43846.6737673998,"Eurostat estimate 2016"
2016,"Malta",21034.5695548105,6313.5967212347,25233.1934409174,17860.8776002384,30161.4137241532,15393.8381841281,"Eurostat estimate 2016"
2016,"Netherlands",316810.727111347,23849.4459778649,333502.937061474,300869.749068073,349213.271226451,289220.308889355,"Eurostat estimate 2016"
2016,"Poland",2296356.89135523,239812.058482325,2466481.60977814,2150863.05950155,2640792.34175483,2035832.76374894,"Eurostat estimate 2016"
2016,"Portugal",789635.720484178,65009.1686344677,834109.920921557,746599.7735422,875472.877706119,708820.31965009,"Eurostat estimate 2016"
2016,"Romania",2924343.80733141,176988.372270391,3048467.40116914,2810918.11875051,3161755.85296669,2713059.82477731,"Eurostat estimate 2016"
2016,"Slovakia",347214.639106804,49203.1713587851,381579.929161176,317141.696430818,415499.366243072,292099.506153519,"Eurostat estimate 2016"
2016,"Slovenia",61858.6514053488,11663.2081772877,69770.4656185609,55207.5271614558,78631.7563124493,50158.819560502,"Eurostat estimate 2016"
2016,"Spain",434307.146349118,29580.1600489965,456118.513296235,415045.569425346,474762.259292385,399263.836250684,"Eurostat estimate 2016"
2016,"Sweden",147973.657448796,16735.9124136918,159817.948778396,137976.694963465,170996.574092747,130119.383331112,"Eurostat estimate 2016"
2016,"United Kingdom",686278.827755776,40832.7609243587,714189.521912393,659697.499676347,741511.502320615,637415.879488109,"Eurostat estimate 2016"
2017,"Austria",161366.29420211,12601.1005679627,170591.853656007,153167.537888514,178978.232438671,146238.348043727,"Eurostat estimate 2016"
2017,"Belgium",290202.069007106,19710.6946660035,303332.003579889,277676.680218712,317219.790233875,266930.574375134,"Eurostat estimate 2016"
2017,"Bulgaria",643158.362893546,64804.3234522855,687442.707976454,609216.782032599,736907.397302706,581139.82975212,"Eurostat estimate 2016"
2017,"Croatia",292066.252061934,21630.5238881614,307506.493020064,278107.616100096,322234.253480255,266583.296197014,"Eurostat estimate 2016"
2017,"Cyprus",67579.1294124232,9243.20230421994,73755.2391976176,62059.3221929218,80168.0335666192,57684.7732150702,"Eurostat estimate 2016"
2017,"Czechia",298668.781212322,60052.4803785913,337219.414708472,264997.242085234,388607.791624833,242994.726031333,"Eurostat estimate 2016"
2017,"Denmark",93013.2688708419,12828.9519977046,101801.254134994,85766.0537840136,111120.208110829,79674.7258641228,"Eurostat estimate 2016"
2017,"Estonia",84973.5132952098,8399.69660105909,90944.7764933485,79891.9183420284,96937.8249061001,75770.7777619946,"Eurostat estimate 2016"
2017,"Finland",128423.588779592,9070.74021735842,134666.474285339,122947.335672204,140984.176919624,118224.150901951,"Eurostat estimate 2016"
2017,"France",769456.176653254,42501.8389428188,797433.269621853,742716.650412434,826192.141933597,719280.200434728,"Eurostat estimate 2016"
2017,"Germany",1209605.11757879,53051.7394594497,1245805.65800647,1174162.80396743,1280831.64749889,1145221.67026621,"Eurostat estimate 2016"
2017,"Greece",79145.1253662723,5205.92238755873,82772.8086681153,75788.8302694772,85961.9820546481,72973.6785861488,"Eurostat estimate 2016"
