"year","name","total","sd","upp50","lwr50","upp80","lwr80","model"
2018,"Portugal",201366.79963598,35770.9057436949,226430.581910499,180263.232419304,252781.488967229,164713.662698233,"Eurostat 10 percent"
2018,"Romania",62157.8818689364,4206.55320758671,65126.667570602,59675.8590613279,67973.0232428388,57276.1970601099,"Eurostat 10 percent"
2018,"Slovakia",154857.313123492,14615.7548186441,165105.753484023,145592.321014514,174792.92902368,137220.307545612,"Eurostat 10 percent"
2018,"Slovenia",77057.9503343664,8124.86405437537,82892.0103084538,71791.4312734925,88471.9805686889,67511.7669063178,"Eurostat 10 percent"
2018,"Spain",1821470.62682156,125376.515317901,1910045.71486912,1743105.60737224,1998201.30504051,1670463.67637591,"Eurostat 10 percent"
2018,"Sweden",414884.115216248,24447.6291184164,430839.932259457,398364.053546621,446329.133754437,385229.95975084,"Eurostat 10 percent"
2018,"United Kingdom",2567200.60206847,285737.465105404,2744515.87440775,2375898.57491065,2933160.97525066,2218679.65283658,"Eurostat 10 percent"
2019,"Austria",689214.924125175,69235.3792747845,739594.001309464,647023.213249201,786906.698898531,612726.067463475,"Eurostat 10 percent"
2019,"Belgium",767876.715039918,72025.3913330968,816865.024038098,721976.882575567,859492.14123164,682553.978849639,"Eurostat 10 percent"
2019,"Bulgaria",28548.0071805557,2548.51229911984,30305.7098489138,26873.9369563424,31990.6847848581,25459.9240368777,"Eurostat 10 percent"
2019,"Croatia",66693.839555369,12446.4165007599,75397.4089008609,59442.1982088939,84915.9498603729,54371.0128375948,"Eurostat 10 percent"
2019,"Cyprus",84326.0696771339,17175.2430301791,96632.4805586844,74248.7147573917,109808.800448961,66634.1209581287,"Eurostat 10 percent"
2019,"Czechia",305791.301306922,46289.5604112498,337040.631795678,278473.317626725,369513.901750683,256178.291938496,"Eurostat 10 percent"
2019,"Denmark",226283.037893781,19198.8068009924,239241.232237274,213777.812952136,251721.362282539,202505.032501304,"Eurostat 10 percent"
2019,"Estonia",30238.2253472372,2877.78120857342,32328.7309719942,28452.6946411593,34284.687241435,26971.2611501303,"Eurostat 10 percent"
2019,"Finland",130042.275609344,16039.7968172506,141445.147615509,119848.111272742,152116.932111737,111818.106521841,"Eurostat 10 percent"
2019,"France",1243037.55577921,192009.828368921,1372990.69310765,1124196.94826876,1515413.94999139,1033923.25926621,"Eurostat 10 percent"
2019,"Germany",2792451.60301704,439611.276140766,3100018.03619372,2528062.50400891,3423105.82371024,2314620.15547419,"Eurostat 10 percent"
2019,"Greece",271760.128077106,67802.6751198547,312787.12021712,238162.253570993,361160.477887004,214643.540963312,"Eurostat 10 percent"
2019,"Hungary",252991.951928754,47622.4891157034,286224.365365272,224586.066639632,322924.98341704,203568.879580204,"Eurostat 10 percent"
2019,"Ireland",452222.026966916,76674.1662545207,503907.977774824,405678.80066592,559518.937051814,371038.398797344,"Eurostat 10 percent"
2019,"Italy",1825376.90143478,292190.574682154,2030907.63465812,1652635.40533588,2230477.07725537,1507557.75309209,"Eurostat 10 percent"
2019,"Latvia",20581.2999814849,2941.01939816587,22531.7347193678,18744.0068006119,24587.8328324007,17269.4124104171,"Eurostat 10 percent"
2019,"Lithuania",18137.6904914088,2147.88671750436,19691.3515118462,16808.7609295643,21155.4529274299,15710.5160565227,"Eurostat 10 percent"
2019,"Luxembourg",193456.163737598,21893.0995304771,209175.833400203,180277.640558393,224320.313214888,169284.892767088,"Eurostat 10 percent"
2019,"Malta",39831.2776757443,6644.6383221879,44458.2396643558,35945.9567829712,49352.6668024759,32858.6873543444,"Eurostat 10 percent"
2019,"Netherlands",561435.06931398,53095.2921889654,597978.67337107,529044.119065875,635061.642562263,500530.034673641,"Eurostat 10 percent"
2019,"Poland",115764.223263807,16580.1056451684,127069.485694834,105579.611905624,139677.148851692,97808.9683785564,"Eurostat 10 percent"
2019,"Portugal",209096.624751954,38522.5281361282,236259.016388847,186046.751957409,265900.633130475,169043.2958181,"Eurostat 10 percent"
2019,"Romania",72954.2433020467,7397.85629532691,78075.9476808144,68161.2286576358,83089.1957678971,64256.2674350726,"Eurostat 10 percent"
2019,"Slovakia",155675.284334158,23981.03741074,172524.702754799,141773.946825689,189589.915478734,129796.685513695,"Eurostat 10 percent"
2019,"Slovenia",80869.680378879,14466.7449757016,90571.6229985188,71733.2304186153,101562.132246976,64832.9766241907,"Eurostat 10 percent"
2019,"Spain",1767378.9606477,197992.563897001,1900936.15935949,1648029.35717104,2038226.93268224,1538453.68949683,"Eurostat 10 percent"
2019,"Sweden",418961.663603491,37500.0972057522,446086.83852906,395439.600964416,470870.921892245,376657.465376822,"Eurostat 10 percent"
2019,"United Kingdom",2596414.91164704,334296.723817442,2830121.98329353,2384869.31722165,3062550.98081739,2223802.42101043,"Eurostat 10 percent"
2011,"Austria",393812.144215073,44497.4199395366,426817.572381304,368356.40140584,456722.426338984,342471.80346305,"Only Eurostat"
2011,"Belgium",519779.933184997,30239.9416854037,540740.100420193,499799.6909643,561061.15892213,483594.835242464,"Only Eurostat"
2011,"Bulgaria",8092.92140757433,422.486240154637,8376.24288193977,7804.95653273572,8660.81069528375,7583.89966023124,"Only Eurostat"
2011,"Croatia",287754.57677143,3488062.68604506,613299.690164984,155501.778684523,1324365.19190841,91790.4451479359,"Only Eurostat"
2011,"Cyprus",298898.858285083,2614279.67634041,645407.648131674,153043.910134718,1432124.32626397,90826.3706343072,"Only Eurostat"
2011,"Czechia",100172.473190804,5421.20402244151,103725.179565777,96407.0305135254,107269.331636096,93476.9735126252,"Only Eurostat"
2011,"Denmark",123143.765133427,7062.83106043568,127987.015073293,118350.285108042,132579.549150786,114568.623698949,"Only Eurostat"
2011,"Estonia",8571.29370569009,1451.94365996635,9583.91623390395,7719.92196147073,10626.9661058482,7056.88990442863,"Only Eurostat"
2011,"Finland",70748.2132030903,4130.77908218642,73597.3893020584,68002.8225106253,76447.6217231316,65741.2526149622,"Only Eurostat"
2011,"France",291601.579482658,2322490.59124961,608765.710282356,152423.483697435,1490055.81717777,88196.991822182,"Only Eurostat"
2011,"Germany",287839.194898098,1918871.55956042,602027.601495446,150664.416658551,1320574.20864912,89790.3771775327,"Only Eurostat"
2011,"Greece",284982.785924517,9323978.68396234,601252.712122763,149703.331266865,1304648.95055598,90217.5728079729,"Only Eurostat"
2011,"Hungary",178321.202039998,35456.735330977,201570.794901814,155476.680874597,228548.611074804,139553.233661119,"Only Eurostat"
2011,"Ireland",420718.358753349,24707.504705878,438897.195884496,403660.970421264,454068.379457213,391143.153946268,"Only Eurostat"
2011,"Italy",1517586.04854101,90567.6095052479,1583143.27065027,1458619.20520055,1646200.04727024,1407323.16513531,"Only Eurostat"
2011,"Latvia",19181.530648322,3160.94751712041,21502.1535532918,17178.9875021986,23560.1059575871,15737.8435862335,"Only Eurostat"
2011,"Lithuania",7836.45132737959,2336.14815451897,9589.69451921023,6588.96972930188,11373.4581334636,5670.04181536109,"Only Eurostat"
2011,"Luxembourg",144126.593394616,59576.7973407173,182768.379603396,118246.081857103,230246.014112306,99467.5713630151,"Only Eurostat"
2011,"Malta",289622.714060487,3945075.07333622,611421.101675689,152549.657549006,1402862.89537254,90880.1217190127,"Only Eurostat"
2011,"Netherlands",329134.973437136,18956.9376347714,342535.031625027,316704.242842616,354365.35555981,306415.51999933,"Only Eurostat"
2011,"Poland",299601.720184547,3939421.87480998,630430.43291454,160677.433583931,1355659.8911134,90739.3367618418,"Only Eurostat"
2011,"Portugal",287541.875412844,2215981.78536173,594499.792287295,155837.451155973,1426687.65273029,92896.1492398614,"Only Eurostat"
2011,"Romania",10481.1802764552,1534.75957320094,11522.9429354277,9494.15068074363,12545.5291321071,8690.12252562789,"Only Eurostat"
2011,"Slovakia",41513.5129813409,2150.58443115374,42987.0320756716,40054.2138261305,44346.2558597383,38862.5558842914,"Only Eurostat"
2011,"Slovenia",41581.3837866979,2282.72126309976,43030.3449481438,39942.809444851,44430.8129093981,38678.4445269086,"Only Eurostat"
2011,"Spain",1743552.00481514,2545038.57993504,1889003.11590382,1653160.22709203,2206869.36709229,1584484.50773425,"Only Eurostat"
2011,"Sweden",311915.56008188,18013.3258841992,324703.477073938,300183.694406743,336213.250940528,289946.37597333,"Only Eurostat"
2011,"United Kingdom",285386.052533742,3113312.10610871,588649.793943642,150553.755200009,1250183.09693589,87730.7038640744,"Only Eurostat"
