"orig","dest","corridor_name","year","census","corridor"
"Germany","Poland","Germany->Poland",2011,16932,290
"Germany","Portugal","Germany->Portugal",2011,22939,291
"Germany","Romania","Germany->Romania",2011,1994,292
"Germany","Slovakia","Germany->Slovakia",2011,905,293
"Germany","Slovenia","Germany->Slovenia",2011,6171,294
"Germany","Spain","Germany->Spain",2011,146595,295
"Germany","Sweden","Germany->Sweden",2011,26687,296
"Germany","United Kingdom","Germany->United Kingdom",2011,239020,297
"Greece","Austria","Greece->Austria",2011,2632,298
"Greece","Belgium","Greece->Belgium",2011,NA,299
"Greece","Bulgaria","Greece->Bulgaria",2011,1156,300
"Greece","Croatia","Greece->Croatia",2011,41,301
"Greece","Cyprus","Greece->Cyprus",2011,15011,302
"Greece","Czech Republic","Greece->Czech Republic",2011,468,303
"Greece","Denmark","Greece->Denmark",2011,1225,304
"Greece","Estonia","Greece->Estonia",2011,11,305
"Greece","Finland","Greece->Finland",2011,164,306
"Greece","France","Greece->France",2011,8396,307
"Greece","Germany","Greece->Germany",2011,120040,308
"Greece","Hungary","Greece->Hungary",2011,358,309
"Greece","Ireland","Greece->Ireland",2011,NA,310
"Greece","Italy","Greece->Italy",2011,7308,311
"Greece","Latvia","Greece->Latvia",2011,13,312
"Greece","Lithuania","Greece->Lithuania",2011,0,313
"Greece","Luxembourg","Greece->Luxembourg",2011,1036,314
"Greece","Malta","Greece->Malta",2011,63,315
"Greece","Netherlands","Greece->Netherlands",2011,0,316
"Greece","Poland","Greece->Poland",2011,1221,317
"Greece","Portugal","Greece->Portugal",2011,155,318
"Greece","Romania","Greece->Romania",2011,858,319
"Greece","Slovakia","Greece->Slovakia",2011,84,320
"Greece","Slovenia","Greece->Slovenia",2011,49,321
"Greece","Spain","Greece->Spain",2011,1815,322
"Greece","Sweden","Greece->Sweden",2011,8732,323
"Greece","United Kingdom","Greece->United Kingdom",2011,31555,324
"Hungary","Austria","Hungary->Austria",2011,31296,325
"Hungary","Belgium","Hungary->Belgium",2011,NA,326
"Hungary","Bulgaria","Hungary->Bulgaria",2011,219,327
"Hungary","Croatia","Hungary->Croatia",2011,613,328
"Hungary","Cyprus","Hungary->Cyprus",2011,569,329
"Hungary","Czech Republic","Hungary->Czech Republic",2011,1180,330
"Hungary","Denmark","Hungary->Denmark",2011,2257,331
"Hungary","Estonia","Hungary->Estonia",2011,78,332
"Hungary","Finland","Hungary->Finland",2011,1117,333
"Hungary","France","Hungary->France",2011,6121,334
"Hungary","Germany","Hungary->Germany",2011,66810,335
"Hungary","Greece","Hungary->Greece",2011,1624,336
"Hungary","Ireland","Hungary->Ireland",2011,NA,337
"Hungary","Italy","Hungary->Italy",2011,8633,338
"Hungary","Latvia","Hungary->Latvia",2011,212,339
"Hungary","Lithuania","Hungary->Lithuania",2011,0,340
"Hungary","Luxembourg","Hungary->Luxembourg",2011,774,341
"Hungary","Malta","Hungary->Malta",2011,129,342
"Hungary","Netherlands","Hungary->Netherlands",2011,0,343
"Hungary","Poland","Hungary->Poland",2011,700,344
"Hungary","Portugal","Hungary->Portugal",2011,338,345
"Hungary","Romania","Hungary->Romania",2011,1051,346
"Hungary","Slovakia","Hungary->Slovakia",2011,3525,347
"Hungary","Slovenia","Hungary->Slovenia",2011,288,348
"Hungary","Spain","Hungary->Spain",2011,3910,349
"Hungary","Sweden","Hungary->Sweden",2011,9821,350
"Hungary","United Kingdom","Hungary->United Kingdom",2011,43480,351
"Ireland","Austria","Ireland->Austria",2011,688,352
"Ireland","Belgium","Ireland->Belgium",2011,NA,353
"Ireland","Bulgaria","Ireland->Bulgaria",2011,60,354
"Ireland","Croatia","Ireland->Croatia",2011,23,355
"Ireland","Cyprus","Ireland->Cyprus",2011,342,356
"Ireland","Czech Republic","Ireland->Czech Republic",2011,429,357
"Ireland","Denmark","Ireland->Denmark",2011,1221,358
"Ireland","Estonia","Ireland->Estonia",2011,21,359
"Ireland","Finland","Ireland->Finland",2011,100,360
"Ireland","France","Ireland->France",2011,7130,361
"Ireland","Germany","Ireland->Germany",2011,7830,362
"Ireland","Greece","Ireland->Greece",2011,474,363
"Ireland","Hungary","Ireland->Hungary",2011,339,364
"Ireland","Italy","Ireland->Italy",2011,2187,365
"Ireland","Latvia","Ireland->Latvia",2011,14,366
"Ireland","Lithuania","Ireland->Lithuania",2011,0,367
