"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2015,"Latvia",21325.5634502126,2123.41837410908,22661.9176343031,20002.4591219553,24255.9955386186,18751.7349815316
2015,"Lithuania",12053.1635609451,1030.07863717913,12854.7333764306,11507.2884658919,13704.3356543337,11007.051791952
2015,"Luxembourg",162115.183538021,21201.2278713353,179645.824148889,149427.738632493,192572.917129076,140977.913641868
2015,"Malta",24469.3822444322,4527.76122779843,27578.4825588629,21807.1625286641,30542.5517752126,20034.2093524378
2015,"Netherlands",494681.520465359,29855.5368647176,515087.490067549,476539.868037455,535258.492538238,464598.432727739
2015,"Poland",80461.4071095464,11151.8916275156,87246.4207674766,72671.9550910976,94857.8350145805,66538.2156166333
2015,"Portugal",190964.067321108,34073.19810164,211332.468393855,171491.589244723,237615.110729921,153889.214483751
2015,"Romania",21016.5797747176,1337.88935134358,21990.9275531955,20189.4325481863,22701.2254868556,19395.8843039585
2015,"Slovakia",124143.951297242,12035.5883757172,134244.001640026,117421.866805782,141067.873063598,110518.413153907
2015,"Slovenia",62443.0974562485,6507.50953174499,67827.0791661119,58822.9658162398,72297.7295477495,55780.083651808
2015,"Spain",1938919.48830259,138598.638590481,2018622.37499526,1835077.63049227,2109120.50589277,1769774.61908379
2015,"Sweden",403878.893044885,24310.6540874208,419830.506000557,387225.350863076,434012.932265419,372207.054429048
2015,"United Kingdom",2516514.12238928,253605.513508725,2701357.20580779,2359850.70320407,2838472.94556404,2235361.46984554
2016,"Austria",671524.134943096,36385.9842334354,700887.812719277,650138.318690273,725363.16958664,635455.8351818
2016,"Belgium",758673.418084473,42117.5729146008,782699.08825004,732297.365458683,813494.858118406,703942.020058544
2016,"Bulgaria",19525.6535136069,1167.42253050688,20233.6575364249,18700.222077424,20969.0613465337,18026.5598828442
2016,"Croatia",59355.8895458739,11069.9364564665,66967.410497288,53038.2668676713,76491.2999694339,49137.9187313624
2016,"Cyprus",77888.7964616468,13965.5641009199,87138.5981258473,68554.6626352352,96370.8051630353,60787.4179128764
2016,"Czechia",252350.211214691,25086.5980696453,270018.852190612,236808.968145694,284726.428793253,221081.940081394
2016,"Denmark",217933.570548427,10425.5412177772,225152.08422165,210654.357514598,231664.606099394,206069.299431835
2016,"Estonia",21840.4629131587,1495.1177180905,22997.0293106439,21074.9854497495,23933.6480659351,20256.5558094151
2016,"Finland",125405.917586145,9163.81021899726,131145.209687671,120132.690613199,138336.166368421,114964.126816895
2016,"France",1149223.59042834,161187.362694782,1294587.79546011,1052637.90401211,1402607.95407096,1002115.28333336
2016,"Germany",2649273.60206231,411061.490764839,2960291.63905548,2357256.10469927,3222444.35304719,2182187.89480312
2016,"Greece",259859.5242809,53668.321586959,299978.56334897,230244.042639492,335512.440645272,206216.788952183
2016,"Hungary",270905.37149358,25839.7902814395,288692.930072227,253015.790345669,300231.171631569,239730.011301021
2016,"Ireland",404656.158317142,41725.3769798096,441694.133546265,378942.172787869,463733.488631432,355048.149072638
2016,"Italy",2118744.38565696,138467.949042414,2215160.55180436,2029012.04467921,2307479.28460796,1973943.67509346
2016,"Latvia",22033.6295005276,2089.76089525576,23619.3355312065,20609.0167648844,25172.2381750962,19740.8382823153
2016,"Lithuania",14011.9753066161,1204.18914032881,14885.7239044015,13235.7463422874,15636.8198365983,12612.3206280017
2016,"Luxembourg",168111.807013154,16100.240845801,178281.523795592,156906.053559488,190359.418231851,149907.400023817
2016,"Malta",28153.4927054947,4939.49079518828,31856.7083671979,25529.6057798129,35260.7373729065,23158.1784386705
2016,"Netherlands",530365.742371243,27764.9378746815,548015.031226973,514186.599596143,565927.702858627,497919.619131954
2016,"Poland",88771.6933945349,12811.104140836,97792.4754118173,81231.4902694038,107359.769648078,74410.1867291807
